,Vdot_VFD,PL,PL2
123,1230.0,193.25695943424287,12.415810949215938
124,1240.0,196.34193845216268,12.60706433607308
125,1250.0,199.45133334469165,12.799774365420888
126,1260.0,202.58514411182986,12.993941037259475
127,1270.0,205.7433707535773,13.189564351588757
128,1280.0,208.92601326993392,13.386644308408762
129,1290.0,212.1330716608998,13.585180907719462
130,1300.0,215.36454592647488,13.785174149520913
131,1310.0,218.62043606665915,13.986624033813058
132,1320.0,221.9007420814527,14.189530560595955
133,1330.0,225.20546397085542,14.393893729869518
134,1340.0,228.53460173486735,14.599713541633804
135,1350.0,231.88815537348853,14.806989995888841
136,1360.0,235.2661248867189,15.015723092634545
137,1370.0,238.66851027455849,15.225912831871028
138,1380.0,242.09531153700732,15.437559213598206
139,1390.0,245.54652867406534,15.650662237816107
140,1400.0,249.02216168573258,15.865221904524674
141,1410.0,252.52221057200907,16.08123821372402
142,1420.0,256.0466753328948,16.29871116541409
143,1430.0,259.59555596838965,16.517640759594826
144,1440.0,263.16885247849376,16.738026996266285
145,1450.0,266.7665648632071,16.959869875428524
146,1460.0,270.3886931225297,17.18316939708143
147,1470.0,274.0352372564614,17.407925561225
148,1480.0,277.70619726500246,17.634138367859407
149,1490.0,281.40157314815264,17.86180781698448
150,1500.0,285.12136490591206,18.090933908600277
151,1510.0,288.8655725382807,18.32151664270674
152,1520.0,292.63419604525853,18.553556019303926
153,1530.0,296.42723542684564,18.78705203839195
154,1540.0,300.24469068304194,19.02200469997058
155,1550.0,304.0865618138474,19.258414004039935
156,1560.0,307.9528488192621,19.496279950599956
157,1570.0,311.8435516992861,19.735602539650813
158,1580.0,315.7586704539192,19.97638177119228
159,1590.0,319.6982050831616,20.218617645224583
160,1600.0,323.6621555870132,20.462310161747553
161,1610.0,327.650521965474,20.70745932076119
162,1620.0,331.663304218544,20.954065122265547
163,1630.0,335.70050234622323,21.202127566260685
164,1640.0,339.76211634851177,21.451646652746547
165,1650.0,343.84814622540944,21.702622381723074
166,1660.0,347.9585919769163,21.955054753190325
167,1670.0,352.0934536030324,22.20894376714824
168,1680.0,356.25273110375775,22.464289423596995
169,1690.0,360.4364244790923,22.721091722536414
170,1700.0,364.6445337290361,22.979350663966613
171,1710.0,368.87705885358906,23.239066247887365
172,1720.0,373.13399985275123,23.500238474298953
173,1730.0,377.41535672652265,23.762867343201265
174,1740.0,381.72112947490325,24.026952854594185
175,1750.0,386.05131809789316,24.292495008478
176,1760.0,390.4059225954922,24.559493804852423
177,1770.0,394.7849429677005,24.827949243717512
178,1780.0,399.18837921451797,25.09786132507338
179,1790.0,403.6162313359447,25.369230048919974
180,1800.0,408.0684993319806,25.642055415257232
181,1810.0,412.5451832026258,25.916337424085327
182,1820.0,417.0462829478802,26.19207607540409
183,1830.0,421.57179856774377,26.469271369213516
184,1840.0,426.12173006221656,26.747923305513723
185,1850.0,430.69607743129853,27.02803188430454
186,1860.0,435.2948406749898,27.30959710558625
187,1870.0,439.9180197932903,27.59261896935851
188,1880.0,444.56561478619994,27.87709747562161
189,1890.0,449.2376256537188,28.16303262437532
190,1900.0,453.9340523958469,28.45042441561975
191,1910.0,458.65489501258423,28.739272849355018
192,1920.0,463.4001535039308,29.029577925580952
193,1930.0,468.16982786988655,29.321339644297552
194,1940.0,472.9639181104515,29.614558005504875
195,1950.0,477.7824242256257,29.90923300920292
196,1960.0,482.6253462154091,30.20536465539169
197,1970.0,487.4926840798017,30.502952944071183
198,1980.0,492.3844378188036,30.801997875241454
199,1990.0,497.30060743241467,31.102499448902392
200,2000.0,502.2411929206349,31.404457665053997
